scenario,method,hour,mean_cumulative_false_alert_probability,n_defined
S2,PaFAR-F,83,0.0981775999999999,500
S2,PaFAR-F,84,0.09831519999999995,500
S2,PaFAR-F,85,0.0984236,500
S2,PaFAR-F,86,0.09851399999999998,500
S2,PaFAR-F,87,0.09858639999999996,500
S2,PaFAR-F,88,0.098634,500
S2,PaFAR-F,89,0.0986776,500
S2,PaFAR-F,90,0.09871079999999997,500
S2,PaFAR-F,91,0.09873399999999997,500
S2,PaFAR-F,92,0.09874799999999996,500
S2,PaFAR-F,93,0.09875359999999997,500
S2,PaFAR-F,94,0.09876159999999996,500
S2,PaFAR-F,95,0.09876719999999994,500
S2,PaFAR-F,96,0.09876999999999996,500
S2,PaFAR-F,97,0.09877199999999996,500
S2,PaFAR-F,98,0.09877199999999996,500
S2,PaFAR-F,99,0.09877239999999997,500
S2,PaFAR-F,100,0.09877279999999997,500
S2,PaFAR-F,101,0.09877279999999997,500
S2,PaFAR-F,102,0.09877279999999997,500
S2,PaFAR-F,103,0.09877319999999996,500
S2,PaFAR-F,104,0.09877319999999996,500
S2,PaFAR-F,105,0.09877319999999996,500
S2,PaFAR-F,106,0.09877319999999996,500
S2,PaFAR-F,107,0.09877319999999996,500
S2,PaFAR-F,108,0.09877319999999996,500
S2,PaFAR-F,109,0.09877319999999996,500
S2,PaFAR-F,110,0.09877319999999996,500
S2,PaFAR-F,111,0.09877319999999996,500
S2,PaFAR-F,112,0.09877319999999996,500
S2,PaFAR-F,113,0.09877319999999996,500
S2,PaFAR-F,114,0.09877319999999996,500
S2,PaFAR-F,115,0.09877319999999996,500
S2,PaFAR-F,116,0.09877319999999996,500
S2,PaFAR-F,117,0.09877319999999996,500
S2,PaFAR-F,118,0.09877319999999996,500
S2,PaFAR-F,119,0.09877319999999996,500
S2,PaFAR-T,0,0.0,500
S2,PaFAR-T,1,0.0,500
S2,PaFAR-T,2,0.0,500
S2,PaFAR-T,3,0.0,500
S2,PaFAR-T,4,0.0,500
S2,PaFAR-T,5,0.00998879999999999,500
S2,PaFAR-T,6,0.012857200000000003,500
S2,PaFAR-T,7,0.015567199999999998,500
S2,PaFAR-T,8,0.018148800000000027,500
S2,PaFAR-T,9,0.02068200000000001,500
