scenario,contrast,metric,mean_paired_difference,paired_sd,paired_mcse,mc_interval_lower,mc_interval_upper,n_pairs
E3,Local PaFAR-F m0=500 minus direct transfer,alert_burden_100d,-2.2617458310160226,1.6371471790286007,0.23152757441831007,-2.7155398768759103,-1.8079517851561349,50
E3,Local PaFAR-T m0=500 minus direct transfer,pfa,-0.036301817039759376,0.023824175898464254,0.0033692472667970364,-0.04290554168268157,-0.029698092396837183,50
E3,Local PaFAR-T m0=500 minus direct transfer,long_stay_pfa,0.06775002972069205,0.06035894114052411,0.008536043317140857,0.05101938481909597,0.08448067462228813,50
E3,Local PaFAR-T m0=500 minus direct transfer,sens3,-0.023254829683403058,0.017262521413953517,0.002441289190436904,-0.02803975649665939,-0.018469902870146725,50
E3,Local PaFAR-T m0=500 minus direct transfer,sens0,-0.04973630733320032,0.03956810416802281,0.005595774955180924,-0.06070402624535493,-0.03876858842104571,50
E3,Local PaFAR-T m0=500 minus direct transfer,premature,-0.06612858555057517,0.036151848442166255,0.0051126434371768165,-0.07614936668744174,-0.05610780441370861,50
E3,Local PaFAR-T m0=500 minus direct transfer,median_lead,-0.09,0.4704535371450032,0.06653217726968581,-0.22040306744858418,0.040403067448584185,50
E3,Local PaFAR-T m0=500 minus direct transfer,ppv3_standardized,-0.007138475278902779,0.014999003390424525,0.0021211794016818396,-0.011295986906199186,-0.0029809636516063736,50
E3,Local PaFAR-T m0=500 minus direct transfer,alert_burden_100d,-2.2273974305210356,1.7004572149384176,0.24048096556010912,-2.6987401230188492,-1.7560547380232217,50
E3,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,pfa,-0.023082620726529966,0.008136877518873648,0.0011507282542559851,-0.025338048104871697,-0.020827193348188236,50
E3,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,long_stay_pfa,-0.023401293559415903,0.011575989501920595,0.0016370921351504676,-0.026609994144310818,-0.020192592974520987,50
E3,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,sens3,-0.008676279871675425,0.00826811359259229,0.0011692878377885351,-0.010968084033740954,-0.006384475709609896,50
E3,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,sens0,-0.0203317374606726,0.010971397498691401,0.001551589914083563,-0.023372853692276385,-0.017290621229068815,50
E3,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,premature,-0.019251930244402096,0.013298958008448237,0.0018807566780977782,-0.02293821333347374,-0.015565647155330452,50
E3,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,median_lead,-0.04,0.3619674131234265,0.05118992247762548,-0.14033224805614594,0.06033224805614593,50
E3,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,ppv3_standardized,0.0006836188995347026,0.00828823048960279,0.0011721327966470463,-0.001613761381893508,0.002980999180962913,50
E3,Local PaFAR-HC m0=500 minus Local PaFAR-F m0=500,alert_burden_100d,-1.401327510354494,0.47644551942265806,0.06737957152994169,-1.5333914705531797,-1.2692635501558083,50
